"video_cats","video_intense","video_num","Subject","Anxiety","ExpectedFear","how_aroused","how_distant_present","how_fearful","how_pleasant"
"Heights","High","3","R_3LZJrZemGbYtmAq",0,10,0,100,0,0
"Heights","High","3","R_3NU2EbrCDhYOSw4",81,70,56,33,35,42
"Heights","High","3","R_3NUHkQ7u6Z7U5So",0,0,30,80,25,30
"Heights","High","3","R_3oGZtyQH6L4kqUw",21,59,32,30,51,0
"Heights","High","3","R_3oKQvyXwd8LBwRD",50,40,0,0,0,50
"Heights","High","3","R_3q7kYa381PtmyA3",50,45,69,64,30,32
"Heights","High","3","R_3QPBTjd1B8cWwVs",89,96,100,70,82,80
"Heights","High","3","R_3qvt4ofeIEPVi6Z",0,0,61,86,2,56
"Heights","High","3","R_3s16evth0kO1gOG",38,74,50,50,50,50
"Heights","High","3","R_5irlwFbumPPxDqN",60,65,75,55,55,0
"Heights","High","3","R_5vEde5bpfRcBUSR",10,90,0,50,0,50
"Heights","High","3","R_88QBxtZzthDPw5P",60,71,67,65,66,37
"Heights","High","3","R_8lhMbAAmhPTH3KV",57,58,100,100,100,0
"Heights","High","3","R_9z6o3XhybVZnDJD",81,98,72,63,58,62
"Heights","High","3","R_A1ynaFImvOIYIyl",5,14,50,50,50,50
"Heights","High","3","R_agu43adP9dmW1Ut",4,15,0,51,0,51
"Heights","High","3","R_aViQ4qyGf4ZfmLf",0,0,0,0,0,50
"Heights","High","3","R_cT3eteh2G55FPjj",5,8,67,69,16,41
"Heights","High","3","R_cYkozB2WqZbxvi1",75,75,50,50,50,50
"Heights","High","3","R_DAf4S53mLTGDwQ1",6,24,0,50,0,50
"Heights","High","3","R_DSLgkEtvD3Fa10Z",80,80,0,0,0,100
"Heights","High","3","R_eIJhGp1TZkpiVdn",60,70,0,70,0,50
"Heights","High","3","R_eLL4wseyOFuox5D",75,74,34,70,67,78
"Heights","High","3","R_pawByuUlC7Ye2AN",3,1,0,0,0,50
"Heights","High","3","R_pMBnK60HOxcmyZz",5,10,12,89,9,89
"Heights","High","3","R_po8MWys5eYyufip",38,37,0,100,0,61
"Heights","High","3","R_Qgjm9n7YBgShxYZ",15,5,6,73,5,58
"Heights","High","3","R_Rtu9vj81TcVzBDz",5,1,80,75,0,72
"Heights","High","3","R_RXEHPs8tYQNbHJn",31,37,50,50,50,50
"Heights","High","3","R_tECZC6S2PedhmA9",68,85,14,43,25,42
"Heights","High","3","R_TnMHq0KaIVlKfqp",0,0,100,100,89,0
"Heights","High","3","R_TorWoeGEL3lNlbX",41,28,80,72,54,26
"Heights","High","3","R_un9FpuYuTNHwtj3",7,9,0,5,7,48
"Heights","High","3","R_WDrPZnYCUoeSmR3",0,0,10,10,20,20
"Heights","High","3","R_wRyJJImGxzrwl69",8,12,0,89,0,86
"Heights","High","3","R_wYklq5dyUKrTpfz",100,100,100,100,100,0
"Heights","High","3","R_XIlOj977r0FkBj3",50,50,21,68,17,33
"Heights","High","3","R_Y9zteRJA0ZIyZ5D",76,81,0,50,0,50
"Heights","High","3","R_ywJ22mo2kwiNbYl",83,92,50,50,50,50
"Heights","High","3","R_z0WWV95k7LQI9z3",70,70,87,85,82,89
"Heights","High","4","R_0lFJxz1l9GCqPLz",77,86,91,88,90,13
"Heights","High","4","R_10HrOnbw2qcNAFb",74,80,84,83,90,86
"Heights","High","4","R_10q0sXSDxr6uiLQ",10,20,20,50,20,20
"Heights","High","4","R_12roVNyjptyqPX7",0,0,20,30,20,40
"Heights","High","4","R_1BQO7gJBnvyOfnX",63,66,77,87,86,14
"Heights","High","4","R_1dKwDU013ctZcWB",51,89,91,100,97,5
"Heights","High","4","R_1EYiSA7OuD5fcOR",98,100,100,100,100,0
"Heights","High","4","R_1FbU3BZ3c8TSv8Q",13,25,16,15,27,17
"Heights","High","4","R_1IHhzezWkuPoGI1",0,0,0,0,0,50
"Heights","High","4","R_1JJ9v8kI1xLTIzk",0,1,100,99,30,91
"Heights","High","4","R_1k0jZkHgc2fuwrT",5,20,30,60,20,65
"Heights","High","4","R_1k1XfPdy5fGOgce",57,70,100,100,100,0
"Heights","High","4","R_1K83jaaIhmUroct",0,80,88,92,100,0
"Heights","High","4","R_1Lb4ufeIxRNJL6d",10,40,95,100,55,30
"Heights","High","4","R_1mRfeliyC362m9I",20,25,90,95,75,20
"Heights","High","4","R_1N8PfXN94lXsKqs",70,70,100,100,100,0
"Heights","High","4","R_1Ngm1dwb6b8gUCb",0,0,50,100,0,100
"Heights","High","4","R_1P5it599MB6JPGo",69,74,59,65,67,82
"Heights","High","4","R_1PcadSYfGf2PSUz",61,60,75,28,72,66
"Heights","High","4","R_1pXAJSjLxGuFnzr",71,86,61,72,32,40
"Heights","High","4","R_214D9q0Wz9CWOHY",87,100,100,100,85,16
"Heights","High","4","R_21oBrz58HPW2sJC",29,70,90,100,71,16
"Heights","High","4","R_22Pa4rdW2nUEzTP",4,4,30,73,1,45
"Heights","High","4","R_22Sqf4FjWJpyFvk",23,34,36,98,46,0
"Heights","High","4","R_24jBqyC3zOdJKHk",68,76,40,37,79,34
"Heights","High","4","R_27dPJ0iZtEvdYD4",10,10,20,30,15,35
"Heights","High","4","R_27QiJuaHb7aXJQ9",0,0,21,54,11,40
"Heights","High","4","R_28D2wkAUezhavew",7,44,27,36,24,37
"Heights","High","4","R_2BsbF9JRjRAUCrG",0,10,70,71,40,0
"Heights","High","4","R_2Bu4QGABXAR2XFn",46,45,39,63,41,40
"Heights","High","4","R_2bZUOiUOmzc5qJJ",28,15,100,98,95,3
"Heights","High","4","R_2cingKcm9OAuqlq",66,68,89,81,82,74
"Heights","High","4","R_2dmva03gx1Dfg5o",6,70,98,41,76,12
"Heights","High","4","R_2dQROrRA3MLkRKa",100,100,100,100,100,0
"Heights","High","4","R_2eUtv3tn0HBYOmQ",0,0,5,55,0,50
"Heights","High","4","R_2eVBKiWn6Yoa3R4",18,4,9,98,11,86
"Heights","High","4","R_2fJcBcUeDAkveeM",0,20,77,84,77,19
"Heights","High","4","R_2frkDhV2x6aNvWz",53,52,55,53,46,49
"Heights","High","4","R_2tsOekW5EXwGsGp",50,60,84,100,79,16
"Heights","High","4","R_2VQGraBOdDfD6kP",15,16,55,36,25,60
"Heights","High","4","R_2WMF35rtU0uBexM",86,65,61,84,83,40
"Heights","High","4","R_2YEvsxnrHnaedVc",41,60,97,95,97,7
"Heights","High","4","R_2ylbwil58S9Dg3g",0,0,79,93,41,40
"Heights","High","4","R_31dr2XpqS952AKV",0,0,69,79,12,37
"Heights","High","4","R_337PEDW01nxmrXn",88,84,87,87,90,77
"Heights","High","4","R_3eh7lS2Gn0YIGX8",61,64,62,83,64,36
"Heights","High","4","R_3EuNzDW57avhFal",65,83,59,65,86,0
"Heights","High","4","R_3EvhOmMQGHjxisJ",1,4,0,94,0,25
"Heights","High","4","R_3fld7tjf93fYznF",30,65,100,99,100,0
"Heights","High","4","R_3hauTph43RzeqC1",9,10,28,22,10,62
"Heights","High","4","R_3hllAS7v9Mr6KHa",3,82,85,89,77,28
"Heights","High","4","R_3hmCJ8nN5viaaPy",17,35,42,95,37,13
"Heights","High","4","R_3htesdLPiYClCA5",0,0,16,43,7,43
"Heights","High","4","R_3Huhrq1djTT4KdF",19,36,96,95,78,0
"Heights","High","4","R_3ixIFx3YVFn2phw",32,22,74,84,58,9
"Heights","High","4","R_3j3egpbCQ8AOaFH",40,60,60,70,60,30
"Heights","High","4","R_3JK8mhcVAhH1cYN",0,1,78,95,22,12
